OTU	pident	title	genus	species
Otu00050	94.862	Bacteroides caecigallinarum	Bacteroides	caecigallinarum
Otu00055	96.047	Prevotellamassilia timonensis	Prevotellamassilia	timonensis
Otu00056	100	Treponema succinifaciens	Treponema	succinifaciens
Otu00057	96.047	Prevotella denticola	Prevotella	denticola
Otu00059	100	Lactobacillus gasseri	Lactobacillus	gasseri
Otu00060	93.676	Treponema brennaborense	Treponema	brennaborense
Otu00062	100	Klebsiella aerogenes	Klebsiella	aerogenes
Otu00063	98.419	Cloacibacillus porcorum	Cloacibacillus	porcorum
Otu00065	100	Blautia obeum	Blautia	obeum
Otu00066	99.605	Blautia faecicola	Blautia	faecicola
Otu00067	99.603	Terrisporobacter petrolearius	Terrisporobacter	petrolearius
Otu00069	100	Dialister succinatiphilus	Dialister	succinatiphilus
Otu00070	94.094	Prevotella copri	Prevotella	copri
Otu00071	93.725	Schwartzia succinivorans	Schwartzia	succinivorans
Otu00072	94.488	Ruminococcus bromii	Ruminococcus	bromii
Otu00073	96.443	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu00074	99.606	Blautia luti	Blautia	luti
Otu00075	97.233	Holdemanella biformis	Holdemanella	biformis
Otu00077	100	[Pasteurella] aerogenes	[Pasteurella]	aerogenes
Otu00078	100	Bifidobacterium thermophilum	Bifidobacterium	thermophilum
Otu00079	97.628	[Clostridium] amygdalinum	[Clostridium]	amygdalinum
Otu00080	100	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu00082	100	Lactobacillus leichmannii	Lactobacillus	leichmannii
Otu00084	100	Lysinibacillus boronitolerans	Lysinibacillus	boronitolerans
Otu00089	98.419	[Eubacterium] hallii	[Eubacterium]	hallii
Otu00091	100	Lactobacillus mucosae	Lactobacillus	mucosae
Otu00093	100	Helicobacter equorum	Helicobacter	equorum
Otu00095	93.676	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu00097	100	Bacteroides vulgatus	Bacteroides	vulgatus
Otu00098	94.048	Mogibacterium neglectum	Mogibacterium	neglectum
Otu00100	95.686	Blautia faecis	Blautia	faecis
Otu00101	96.838	Treponema porcinum	Treponema	porcinum
Otu00103	93.701	Prevotella multisaccharivorax	Prevotella	multisaccharivorax
Otu00104	93.676	Sporobacter termitidis	Sporobacter	termitidis
Otu00105	97.255	Dorea longicatena	Dorea	longicatena
Otu00107	99.606	Dorea longicatena	Dorea	longicatena
Otu00108	97.628	Ruminococcus lactaris	Ruminococcus	lactaris
Otu00111	99.603	Mitsuokella multacida	Mitsuokella	multacida
Otu00112	100	Campylobacter upsaliensis	Campylobacter	upsaliensis
Otu00113	95.257	Oribacterium sinus	Oribacterium	sinus
Otu00114	96.838	Kineothrix alysoides	Kineothrix	alysoides
Otu00115	100	Actinobacillus porcinus	Actinobacillus	porcinus
Otu00116	100	Treponema berlinense	Treponema	berlinense
Otu00117	100	Proteus mirabilis	Proteus	mirabilis
Otu00118	94.862	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu00120	95.652	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu00123	99.213	Methanobrevibacter olleyae	Methanobrevibacter	olleyae
Otu00125	94.071	Sporobacter termitidis	Sporobacter	termitidis
Otu00126	97.233	Lactobacillus leichmannii	Lactobacillus	leichmannii
Otu00127	96.047	Ruminococcus callidus	Ruminococcus	callidus
Otu00129	97.619	Veillonella dispar	Veillonella	dispar
Otu00130	98.024	Flintibacter butyricus	Flintibacter	butyricus
Otu00131	95.652	Fournierella massiliensis	Fournierella	massiliensis
Otu00132	96.047	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00133	100	Bacteroides fragilis	Bacteroides	fragilis
Otu00135	97.628	Lachnospira pectinoschiza	Lachnospira	pectinoschiza
Otu00137	100	Fusicatenibacter saccharivorans	Fusicatenibacter	saccharivorans
Otu00138	95.652	Roseburia intestinalis	Roseburia	intestinalis
Otu00139	95.257	Prevotellamassilia timonensis	Prevotellamassilia	timonensis
Otu00141	94.071	Treponema bryantii	Treponema	bryantii
Otu00142	93.307	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu00144	99.605	Desulfovibrio piger	Desulfovibrio	piger
Otu00145	100	Clostridium perfringens	Clostridium	perfringens
Otu00146	99.213	Coprococcus catus	Coprococcus	catus
Otu00147	100	Ruminococcus faecis	Ruminococcus	faecis
Otu00148	100	Megasphaera hexanoica	Megasphaera	hexanoica
Otu00149	97.619	Megasphaera elsdenii	Megasphaera	elsdenii
Otu00150	95.635	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00152	97.233	Blautia luti	Blautia	luti
Otu00153	100	Lactobacillus salivarius	Lactobacillus	salivarius
Otu00154	99.606	Ruminococcus bromii	Ruminococcus	bromii
Otu00155	99.603	Veillonella caviae	Veillonella	caviae
Otu00156	95.257	Prevotellamassilia timonensis	Prevotellamassilia	timonensis
Otu00157	95.257	[Eubacterium] cellulosolvens	[Eubacterium]	cellulosolvens
Otu00158	99.605	Schaalia cardiffensis	Schaalia	cardiffensis
Otu00161	96.429	Olsenella profusa	Olsenella	profusa
Otu00162	93.676	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00163	93.281	Flintibacter butyricus	Flintibacter	butyricus
Otu00167	93.676	[Eubacterium] eligens	[Eubacterium]	eligens
Otu00168	98.419	Clostridium chartatabidum	Clostridium	chartatabidum
Otu00169	99.605	Clostridium septicum	Clostridium	septicum
Otu00171	96.443	Prevotellamassilia timonensis	Prevotellamassilia	timonensis
Otu00172	96.047	Peptococcus niger	Peptococcus	niger
Otu00173	100	Romboutsia timonensis	Romboutsia	timonensis
Otu00175	98.024	Treponema bryantii	Treponema	bryantii
Otu00176	98.814	Dorea formicigenerans	Dorea	formicigenerans
Otu00177	96.838	Roseburia intestinalis	Roseburia	intestinalis
Otu00178	97.166	Catenibacterium mitsuokai	Catenibacterium	mitsuokai
Otu00179	100	[Clostridium] scindens	[Clostridium]	scindens
Otu00182	100	Roseburia inulinivorans	Roseburia	inulinivorans
Otu00184	98.419	Roseburia intestinalis	Roseburia	intestinalis
Otu00187	100	Clostridium butyricum	Clostridium	butyricum
Otu00189	100	Streptococcus suis	Streptococcus	suis
Otu00191	100	Enterococcus cecorum	Enterococcus	cecorum
Otu00197	100	Blautia glucerasea	Blautia	glucerasea
Otu00199	99.605	Actinobacillus minor	Actinobacillus	minor
Otu00200	93.307	Sporobacter termitidis	Sporobacter	termitidis
Otu00201	93.701	Treponema bryantii	Treponema	bryantii
Otu00202	98.016	Intestinibacter bartlettii	Intestinibacter	bartlettii
Otu00203	93.333	Treponema parvum	Treponema	parvum
Otu00204	100	Olsenella umbonata	Olsenella	umbonata
Otu00205	98.024	Helicobacter muridarum	Helicobacter	muridarum
Otu00208	93.281	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00209	94.071	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00212	97.233	Murimonas intestini	Murimonas	intestini
Otu00214	94.841	Enterorhabdus muris	Enterorhabdus	muris
Otu00215	94.488	Ruminococcus bromii	Ruminococcus	bromii
Otu00216	100	Clostridium bornimense	Clostridium	bornimense
Otu00219	98.024	Bacteroides xylanolyticus	Bacteroides	xylanolyticus
Otu00222	96.443	Eubacterium ruminantium	Eubacterium	ruminantium
Otu00223	100	Bifidobacterium adolescentis	Bifidobacterium	adolescentis
Otu00224	96.838	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu00227	100	Bifidobacterium boum	Bifidobacterium	boum
Otu00229	94.862	Sporobacter termitidis	Sporobacter	termitidis
Otu00230	97.233	Pseudobutyrivibrio ruminis	Pseudobutyrivibrio	ruminis
Otu00232	96.047	Butyricicoccus pullicaecorum	Butyricicoccus	pullicaecorum
Otu00233	93.651	Olsenella scatoligenes	Olsenella	scatoligenes
Otu00234	100	Fusobacterium mortiferum	Fusobacterium	mortiferum
Otu00237	97.628	Blautia obeum	Blautia	obeum
Otu00238	96.443	Desulfovibrio piger	Desulfovibrio	piger
Otu00241	100	Fibrobacter intestinalis	Fibrobacter	intestinalis
Otu00243	100	[Clostridium] clostridioforme	[Clostridium]	clostridioforme
Otu00245	93.281	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00247	100	Enterococcus saigonensis	Enterococcus	saigonensis
Otu00250	98.419	Frisingicoccus caecimuris	Frisingicoccus	caecimuris
Otu00252	93.676	Treponema bryantii	Treponema	bryantii
Otu00253	99.209	Parabacteroides distasonis	Parabacteroides	distasonis
Otu00255	97.619	Anaerovibrio lipolyticus	Anaerovibrio	lipolyticus
Otu00256	94.51	Ruminobacter amylophilus	Ruminobacter	amylophilus
Otu00257	100	[Ruminococcus] gnavus	[Ruminococcus]	gnavus
Otu00258	96.047	Acutalibacter muris	Acutalibacter	muris
Otu00261	100	Anaerostipes hadrus	Anaerostipes	hadrus
Otu00263	93.281	Sporobacter termitidis	Sporobacter	termitidis
Otu00264	96.838	Prevotella disiens	Prevotella	disiens
Otu00265	100	Clostridium saudiense	Clostridium	saudiense
Otu00266	95.219	[Eubacterium] minutum	[Eubacterium]	minutum
Otu00269	94.862	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00271	93.281	Oscillibacter valericigenes	Oscillibacter	valericigenes
Otu00272	100	Butyricicoccus faecihominis	Butyricicoccus	faecihominis
Otu00275	93.281	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00276	97.638	Methanosphaera stadtmanae	Methanosphaera	stadtmanae
Otu00277	100	Parabacteroides merdae	Parabacteroides	merdae
Otu00278	99.605	Turicibacter sanguinis	Turicibacter	sanguinis
Otu00282	97.244	Acutalibacter muris	Acutalibacter	muris
Otu00283	99.605	[Eubacterium] eligens	[Eubacterium]	eligens
Otu00285	98.81	Peptostreptococcus canis	Peptostreptococcus	canis
Otu00286	95.652	Bacteroides xylanolyticus	Bacteroides	xylanolyticus
Otu00287	100	Selenomonas ruminantium	Selenomonas	ruminantium
Otu00288	93.676	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00289	96.047	Hungatella effluvii	Hungatella	effluvii
Otu00290	96.838	Parasporobacterium paucivorans	Parasporobacterium	paucivorans
Otu00292	98.419	Lactobacillus caviae	Lactobacillus	caviae
Otu00293	100	Fusobacterium gastrosuis	Fusobacterium	gastrosuis
Otu00295	97.233	Eubacterium oxidoreducens	Eubacterium	oxidoreducens
Otu00296	98.024	[Eubacterium] eligens	[Eubacterium]	eligens
Otu00297	100	Methanobrevibacter wolinii	Methanobrevibacter	wolinii
Otu00298	100	Trueperella pyogenes	Trueperella	pyogenes
Otu00299	96.838	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00300	100	Eubacterium pyruvativorans	Eubacterium	pyruvativorans
Otu00305	98.031	Anaerotignum faecicola	Anaerotignum	faecicola
Otu00306	97.233	Blautia faecicola	Blautia	faecicola
Otu00307	98.016	Fusobacterium perfoetens	Fusobacterium	perfoetens
Otu00308	99.605	Sutterella massiliensis	Sutterella	massiliensis
Otu00309	96.443	Pseudoflavonifractor phocaeensis	Pseudoflavonifractor	phocaeensis
Otu00313	95.257	Muricomes intestini	Muricomes	intestini
Otu00316	93.281	[Eubacterium] siraeum	[Eubacterium]	siraeum
Otu00318	93.676	[Ruminococcus] gnavus	[Ruminococcus]	gnavus
Otu00320	98.024	Blautia faecis	Blautia	faecis
Otu00321	97.244	Blautia luti	Blautia	luti
Otu00325	100	Intestinibaculum porci	Intestinibaculum	porci
Otu00329	93.676	Sporobacter termitidis	Sporobacter	termitidis
Otu00336	94.071	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00338	99.605	Coprococcus eutactus	Coprococcus	eutactus
Otu00339	100	Alistipes shahii	Alistipes	shahii
Otu00340	95.669	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu00349	95.652	Gemmiger formicilis	Gemmiger	formicilis
Otu00351	100	Mailhella massiliensis	Mailhella	massiliensis
Otu00353	97.233	Gemmiger formicilis	Gemmiger	formicilis
Otu00354	96.047	[Eubacterium] rectale	[Eubacterium]	rectale
Otu00355	98.419	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00356	98.814	Kineothrix alysoides	Kineothrix	alysoides
Otu00357	97.233	Kineothrix alysoides	Kineothrix	alysoides
Otu00360	95.257	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00361	96.838	Flintibacter butyricus	Flintibacter	butyricus
Otu00363	96.032	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00367	94.466	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00368	96.825	Olsenella uli	Olsenella	uli
Otu00371	95.652	Falcatimonas natans	Falcatimonas	natans
Otu00377	94.466	Ruminococcus callidus	Ruminococcus	callidus
Otu00378	100	Pseudoscardovia radai	Pseudoscardovia	radai
Otu00379	96.457	Enterorhabdus muris	Enterorhabdus	muris
Otu00380	96.443	[Eubacterium] hallii	[Eubacterium]	hallii
Otu00381	96.047	Blautia stercoris	Blautia	stercoris
Otu00383	97.628	Roseburia faecis	Roseburia	faecis
Otu00385	96.078	Eubacterium oxidoreducens	Eubacterium	oxidoreducens
Otu00387	100	Lysinibacillus mangiferihumi	Lysinibacillus	mangiferihumi
Otu00390	93.281	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00393	93.701	Sporobacter termitidis	Sporobacter	termitidis
Otu00398	100	Butyricimonas virosa	Butyricimonas	virosa
Otu00399	99.605	[Clostridium] aldenense	[Clostridium]	aldenense
Otu00400	99.209	Muricomes intestini	Muricomes	intestini
Otu00401	99.605	Butyrivibrio crossotus	Butyrivibrio	crossotus
Otu00404	96.838	Roseburia hominis	Roseburia	hominis
Otu00406	100	Anaerococcus prevotii	Anaerococcus	prevotii
Otu00407	100	Hungatella hathewayi	Hungatella	hathewayi
Otu00408	95.257	[Clostridium] symbiosum	[Clostridium]	symbiosum
Otu00411	100	Staphylococcus aureus	Staphylococcus	aureus
Otu00413	97.638	Ruminococcus bromii	Ruminococcus	bromii
Otu00416	100	Eubacterium limosum	Eubacterium	limosum
Otu00417	96.838	Anaerocolumna cellulosilytica	Anaerocolumna	cellulosilytica
Otu00418	93.307	Sporobacter termitidis	Sporobacter	termitidis
Otu00419	94.071	Flintibacter butyricus	Flintibacter	butyricus
Otu00420	98.419	Mucispirillum schaedleri	Mucispirillum	schaedleri
Otu00421	100	Culturomica massiliensis	Culturomica	massiliensis
Otu00422	96.443	[Clostridium] lavalense	[Clostridium]	lavalense
Otu00423	99.603	Finegoldia magna	Finegoldia	magna
Otu00424	99.605	Ruthenibacterium lactatiformans	Ruthenibacterium	lactatiformans
Otu00427	94.094	Zhizhongheella caldifontis	Zhizhongheella	caldifontis
Otu00428	96.443	Kineothrix alysoides	Kineothrix	alysoides
Otu00430	96.838	Elusimicrobium minutum	Elusimicrobium	minutum
Otu00432	98.814	Chlamydia suis	Chlamydia	suis
Otu00436	96.047	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu00438	97.628	Mediterranea massiliensis	Mediterranea	massiliensis
Otu00439	96.838	Hungatella effluvii	Hungatella	effluvii
Otu00441	97.233	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00444	99.605	Fournierella massiliensis	Fournierella	massiliensis
Otu00446	100	Olsenella scatoligenes	Olsenella	scatoligenes
Otu00448	100	Sharpea azabuensis	Sharpea	azabuensis
Otu00449	94.882	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu00451	96.047	Victivallis vadensis	Victivallis	vadensis
Otu00452	97.233	Hungatella hathewayi	Hungatella	hathewayi
Otu00455	94.862	Lactonifactor longoviformis	Lactonifactor	longoviformis
Otu00456	100	Comamonas jiangduensis	Comamonas	jiangduensis
Otu00460	99.209	Pseudoramibacter alactolyticus	Pseudoramibacter	alactolyticus
Otu00463	97.233	Duodenibacillus massiliensis	Duodenibacillus	massiliensis
Otu00464	94.882	Anaerostipes hadrus	Anaerostipes	hadrus
Otu00465	94.048	Negativibacillus massiliensis	Negativibacillus	massiliensis
Otu00467	97.628	Colidextribacter massiliensis	Colidextribacter	massiliensis
Otu00468	96.047	Agathobaculum desmolans	Agathobaculum	desmolans
Otu00471	99.605	Oxalobacter formigenes	Oxalobacter	formigenes
Otu00475	98.419	[Clostridium] lavalense	[Clostridium]	lavalense
Otu00476	100	Allisonella histaminiformans	Allisonella	histaminiformans
Otu00477	94.094	Oscillibacter valericigenes	Oscillibacter	valericigenes
Otu00478	97.628	Blautia obeum	Blautia	obeum
Otu00479	96.838	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00480	96.047	Syntrophococcus sucromutans	Syntrophococcus	sucromutans
Otu00481	99.209	Clostridium paraputrificum	Clostridium	paraputrificum
Otu00486	99.605	Clostridium ventriculi	Clostridium	ventriculi
Otu00487	99.605	Bacteroides coprophilus	Bacteroides	coprophilus
Otu00489	98.81	Parvimonas micra	Parvimonas	micra
Otu00490	99.209	Synergistes jonesii	Synergistes	jonesii
Otu00491	93.701	Faecalicoccus acidiformans	Faecalicoccus	acidiformans
Otu00494	99.605	Bacteroides plebeius	Bacteroides	plebeius
Otu00495	95.669	Roseburia faecis	Roseburia	faecis
Otu00496	95.652	Bacteroides stercoris	Bacteroides	stercoris
Otu00497	94.071	Parabacteroides chongii	Parabacteroides	chongii
Otu00498	100	Peptoniphilus grossensis	Peptoniphilus	grossensis
Otu00499	95.652	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu00501	96.429	Veillonella criceti	Veillonella	criceti
Otu00503	95.238	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00504	93.676	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu00506	94.466	Blautia caecimuris	Blautia	caecimuris
Otu00508	97.233	Blautia schinkii	Blautia	schinkii
Otu00509	95.257	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00510	96.047	Flintibacter butyricus	Flintibacter	butyricus
Otu00512	95.669	Ruminococcus bromii	Ruminococcus	bromii
Otu00513	95.652	Flintibacter butyricus	Flintibacter	butyricus
Otu00514	96.443	Lachnoclostridium pacaense	Lachnoclostridium	pacaense
Otu00517	94.862	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu00518	93.281	Desulfovibrio alaskensis	Desulfovibrio	alaskensis
Otu00519	93.281	Faecalitalea cylindroides	Faecalitalea	cylindroides
Otu00521	95.257	Kineothrix alysoides	Kineothrix	alysoides
Otu00523	96.443	Bacteroides plebeius	Bacteroides	plebeius
Otu00524	97.244	[Clostridium] glycyrrhizinilyticum	[Clostridium]	glycyrrhizinilyticum
Otu00525	96.047	Kineothrix alysoides	Kineothrix	alysoides
Otu00526	96.838	Duodenibacillus massiliensis	Duodenibacillus	massiliensis
Otu00529	98.024	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00533	94.466	Flintibacter butyricus	Flintibacter	butyricus
Otu00536	94.862	Prevotella maculosa	Prevotella	maculosa
Otu00537	97.628	[Clostridium] glycyrrhizinilyticum	[Clostridium]	glycyrrhizinilyticum
Otu00539	96.838	Desulfovibrio piger	Desulfovibrio	piger
Otu00540	93.281	Ruminococcus albus	Ruminococcus	albus
Otu00542	97.233	[Clostridium] scindens	[Clostridium]	scindens
Otu00543	98.024	Intestinibacillus massiliensis	Intestinibacillus	massiliensis
Otu00544	94.094	Mobilitalea sibirica	Mobilitalea	sibirica
Otu00545	100	Howardella ureilytica	Howardella	ureilytica
Otu00546	98.425	Ruminococcus flavefaciens	Ruminococcus	flavefaciens
Otu00547	94.444	Succiniclasticum ruminis	Succiniclasticum	ruminis
Otu00550	95.276	Acutalibacter muris	Acutalibacter	muris
Otu00551	99.209	Clostridium aurantibutyricum	Clostridium	aurantibutyricum
Otu00552	94.841	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00557	94.488	Muribaculum intestinale	Muribaculum	intestinale
Otu00558	95.652	[Clostridium] celerecrescens	[Clostridium]	celerecrescens
Otu00560	94.094	Sporobacter termitidis	Sporobacter	termitidis
Otu00562	94.071	Anaerosporobacter mobilis	Anaerosporobacter	mobilis
Otu00563	93.254	Anaerotruncus colihominis	Anaerotruncus	colihominis
Otu00564	96.443	Parabacteroides chongii	Parabacteroides	chongii
Otu00565	93.625	Aminicella lysinilytica	Aminicella	lysinilytica
Otu00566	99.606	Methanobrevibacter boviskoreani	Methanobrevibacter	boviskoreani
Otu00568	96.047	Eubacterium coprostanoligenes	Eubacterium	coprostanoligenes
Otu00570	100	Peptococcus simiae	Peptococcus	simiae
Otu00573	100	Slackia isoflavoniconvertens	Slackia	isoflavoniconvertens
Otu00576	93.333	Clostridium tepidum	Clostridium	tepidum
Otu00577	100	Victivallis vadensis	Victivallis	vadensis
Otu00579	97.628	Vespertiliibacter pulmonis	Vespertiliibacter	pulmonis
Otu00580	95.635	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00581	96.457	Anaerotignum aminivorans	Anaerotignum	aminivorans
Otu00582	95.652	Fournierella massiliensis	Fournierella	massiliensis
Otu00584	96.443	Acetitomaculum ruminis	Acetitomaculum	ruminis
Otu00585	99.206	Streptococcus agalactiae	Streptococcus	agalactiae
Otu00590	100	Streptococcus porci	Streptococcus	porci
Otu00595	94.488	Prevotella timonensis	Prevotella	timonensis
Otu00597	99.209	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00598	93.676	Neglecta timonensis	Neglecta	timonensis
Otu00600	98.024	[Clostridium] amygdalinum	[Clostridium]	amygdalinum
Otu00601	95.652	Anaerostipes hadrus	Anaerostipes	hadrus
Otu00602	100	Prevotella copri	Prevotella	copri
Otu00603	100	Parabacteroides goldsteinii	Parabacteroides	goldsteinii
Otu00606	95.257	Clostridium paraputrificum	Clostridium	paraputrificum
Otu00607	100	Lactobacillus rogosae	Lactobacillus	rogosae
Otu00609	93.281	Anaerobium acetethylicum	Anaerobium	acetethylicum
Otu00611	97.638	Blautia luti	Blautia	luti
Otu00612	99.605	Helicobacter canicola	Helicobacter	canicola
Otu00613	98.024	Kineothrix alysoides	Kineothrix	alysoides
Otu00614	93.676	[Eubacterium] eligens	[Eubacterium]	eligens
Otu00616	96.443	[Eubacterium] hallii	[Eubacterium]	hallii
Otu00618	97.233	[Eubacterium] siraeum	[Eubacterium]	siraeum
Otu00619	95.635	Olsenella scatoligenes	Olsenella	scatoligenes
Otu00620	96.032	Fusobacterium mortiferum	Fusobacterium	mortiferum
Otu00621	96.063	[Clostridium] saccharolyticum	[Clostridium]	saccharolyticum
Otu00624	97.233	Faecalicatena contorta	Faecalicatena	contorta
Otu00627	98.016	Anaerococcus jeddahensis	Anaerococcus	jeddahensis
Otu00628	96.838	Kineothrix alysoides	Kineothrix	alysoides
Otu00629	94.466	Eubacterium ruminantium	Eubacterium	ruminantium
Otu00631	100	Ruminococcus callidus	Ruminococcus	callidus
Otu00632	95.635	Ihubacter massiliensis	Ihubacter	massiliensis
Otu00634	100	Intestinimonas butyriciproducens	Intestinimonas	butyriciproducens
Otu00641	96.443	Ruminococcus lactaris	Ruminococcus	lactaris
Otu00642	95.276	Falcatimonas natans	Falcatimonas	natans
Otu00644	97.233	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00647	95.257	Hespellia porcina	Hespellia	porcina
Otu00652	96.047	Eubacterium ruminantium	Eubacterium	ruminantium
Otu00657	96.838	Hungatella effluvii	Hungatella	effluvii
Otu00661	95.257	Elusimicrobium minutum	Elusimicrobium	minutum
Otu00664	99.606	Actinomyces denticolens	Actinomyces	denticolens
Otu00665	93.281	Flavonifractor plautii	Flavonifractor	plautii
Otu00666	100	Schwartzia succinivorans	Schwartzia	succinivorans
Otu00667	96.047	Anaerostipes hadrus	Anaerostipes	hadrus
Otu00668	96.838	Olsenella scatoligenes	Olsenella	scatoligenes
Otu00670	97.233	Pseudoflavonifractor phocaeensis	Pseudoflavonifractor	phocaeensis
Otu00671	100	Anaerotignum lactatifermentans	Anaerotignum	lactatifermentans
Otu00672	94.862	Bacteroides xylanolyticus	Bacteroides	xylanolyticus
Otu00673	95.276	Anaerotignum aminivorans	Anaerotignum	aminivorans
Otu00674	94.488	Clostridium tepidum	Clostridium	tepidum
Otu00680	94.862	Ruminococcus champanellensis	Ruminococcus	champanellensis
Otu00682	96.047	[Clostridium] viride	[Clostridium]	viride
Otu00686	97.628	Prevotella copri	Prevotella	copri
Otu00687	97.628	Blautia caecimuris	Blautia	caecimuris
Otu00688	99.603	Helcococcus sueciensis	Helcococcus	sueciensis
Otu00690	100	Eisenbergiella massiliensis	Eisenbergiella	massiliensis
Otu00691	100	Bacteroides xylanisolvens	Bacteroides	xylanisolvens
Otu00692	94.094	[Clostridium] polysaccharolyticum	[Clostridium]	polysaccharolyticum
Otu00693	94.862	Bacteroides uniformis	Bacteroides	uniformis
Otu00695	94.094	Ruminococcus bromii	Ruminococcus	bromii
Otu00696	100	Streptococcus rubneri	Streptococcus	rubneri
Otu00697	99.209	Wohlfahrtiimonas chitiniclastica	Wohlfahrtiimonas	chitiniclastica
Otu00698	96.443	Monoglobus pectinilyticus	Monoglobus	pectinilyticus
Otu00699	97.233	Kineothrix alysoides	Kineothrix	alysoides
Otu00700	98.024	Blautia wexlerae	Blautia	wexlerae
Otu00701	98.024	Blautia glucerasea	Blautia	glucerasea
Otu00702	95.257	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu00704	95.276	Sporobacter termitidis	Sporobacter	termitidis
Otu00706	100	Pseudoflavonifractor capillosus	Pseudoflavonifractor	capillosus
Otu00708	100	Bordetella bronchiseptica	Bordetella	bronchiseptica
Otu00712	97.647	Dorea longicatena	Dorea	longicatena
